layer_name,gpkg_count,spatialite_count,difference,match,gpkg_empty_fields,spatialite_empty_fields,gpkg_total_fields,spatialite_total_fields,missing_in,status
connectednode,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,,
edge,0.0,0.0,0.0,True,0.0,0.0,21.0,21.0,,
face,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,,
isolatednode,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,,
c_aggr,,,,,,,,,gpkg,MISSING
c_asso,,,,,,,,,gpkg,MISSING
dsid,,,,,,,,,gpkg,MISSING
navlne,,,,,,,,,spatialite,MISSING
ctnare,,,,,,,,,spatialite,MISSING
rtpbcn,,,,,,,,,spatialite,MISSING
topmar,,,,,,,,,spatialite,MISSING
tssbnd,,,,,,,,,spatialite,MISSING
boyspp,,,,,,,,,spatialite,MISSING
hrbfac,,,,,,,,,spatialite,MISSING
rdocal,,,,,,,,,spatialite,MISSING
lndelv,,,,,,,,,spatialite,MISSING
slogrd,,,,,,,,,spatialite,MISSING
pipsol,,,,,,,,,spatialite,MISSING
depcnt,,,,,,,,,spatialite,MISSING
bcnlat,,,,,,,,,spatialite,MISSING
achare,,,,,,,,,spatialite,MISSING
fshzne,,,,,,,,,spatialite,MISSING
boysaw,,,,,,,,,spatialite,MISSING
pilpnt,,,,,,,,,spatialite,MISSING
wedklp,,,,,,,,,spatialite,MISSING
bridge,,,,,,,,,spatialite,MISSING
ctsare,,,,,,,,,spatialite,MISSING
soundg,,,,,,,,,spatialite,MISSING
tsezne,,,,,,,,,spatialite,MISSING
tesare,,,,,,,,,spatialite,MISSING
slotop,,,,,,,,,spatialite,MISSING
mipare,,,,,,,,,spatialite,MISSING
obstrn,,,,,,,,,spatialite,MISSING
slcons,,,,,,,,,spatialite,MISSING
cblohd,,,,,,,,,spatialite,MISSING
pilbop,,,,,,,,,spatialite,MISSING
dmpgrd,,,,,,,,,spatialite,MISSING
morfac,,,,,,,,,spatialite,MISSING
curent,,,,,,,,,spatialite,MISSING
rdosta,,,,,,,,,spatialite,MISSING
wattur,,,,,,,,,spatialite,MISSING
siltnk,,,,,,,,,spatialite,MISSING
damcon,,,,,,,,,spatialite,MISSING
wrecks,,,,,,,,,spatialite,MISSING
airare,,,,,,,,,spatialite,MISSING
cblsub,,,,,,,,,spatialite,MISSING
lakare,,,,,,,,,spatialite,MISSING
fairwy,,,,,,,,,spatialite,MISSING
seaare,,,,,,,,,spatialite,MISSING
admare,,,,,,,,,spatialite,MISSING
marcul,,,,,,,,,spatialite,MISSING
magvar,,,,,,,,,spatialite,MISSING
lndrgn,,,,,,,,,spatialite,MISSING
resare,,,,,,,,,spatialite,MISSING
cgusta,,,,,,,,,spatialite,MISSING
ofsplf,,,,,,,,,spatialite,MISSING
fogsig,,,,,,,,,spatialite,MISSING
lndare,,,,,,,,,spatialite,MISSING
m_qual,,,,,,,,,spatialite,MISSING
sbdare,,,,,,,,,spatialite,MISSING
daymar,,,,,,,,,spatialite,MISSING
tsslpt,,,,,,,,,spatialite,MISSING
unsare,,,,,,,,,spatialite,MISSING
m_covr,,,,,,,,,spatialite,MISSING
cblare,,,,,,,,,spatialite,MISSING
conzne,,,,,,,,,spatialite,MISSING
canals,,,,,,,,,spatialite,MISSING
buaare,,,,,,,,,spatialite,MISSING
rivers,,,,,,,,,spatialite,MISSING
bcnspp,,,,,,,,,spatialite,MISSING
ponton,,,,,,,,,spatialite,MISSING
pipare,,,,,,,,,spatialite,MISSING
lights,,,,,,,,,spatialite,MISSING
boylat,,,,,,,,,spatialite,MISSING
depare,,,,,,,,,spatialite,MISSING
uwtroc,,,,,,,,,spatialite,MISSING
exezne,,,,,,,,,spatialite,MISSING
splare,,,,,,,,,spatialite,MISSING
feryrt,,,,,,,,,spatialite,MISSING
m_nsys,,,,,,,,,spatialite,MISSING
buisgl,,,,,,,,,spatialite,MISSING
lndmrk,,,,,,,,,spatialite,MISSING
prcare,,,,,,,,,spatialite,MISSING
coalne,,,,,,,,,spatialite,MISSING
rectrc,,,,,,,,,spatialite,MISSING
m_npub,,,,,,,,,spatialite,MISSING
