layer_name,gpkg_count,postgis_count,difference,match,gpkg_empty_fields,postgis_empty_fields,gpkg_total_fields,postgis_total_fields
rdosta,33,33,0,True,19,19,37,38
fshzne,1,1,0,True,12,12,28,29
boylat,28,28,0,True,18,18,41,42
lndelv,63,63,0,True,12,12,30,31
m_covr,13,13,0,True,8,8,21,22
cgusta,1,1,0,True,16,16,31,32
marcul,1,1,0,True,22,22,41,42
slogrd,73,73,0,True,16,16,33,34
curent,77,77,0,True,11,11,30,31
navlne,7,7,0,True,13,13,31,32
pipsol,26,26,0,True,19,19,38,39
edge,0,0,0,True,0,0,21,22
dmpgrd,29,29,0,True,9,9,29,30
uwtroc,678,678,0,True,14,14,36,37
bcnlat,20,20,0,True,20,20,46,47
ponton,1,1,0,True,22,22,37,38
buaare,246,246,0,True,16,16,33,34
tesare,56,56,0,True,9,9,26,27
face,0,0,0,True,0,0,9,10
magvar,166,166,0,True,9,9,27,28
rivers,247,247,0,True,10,10,27,28
cblare,4,4,0,True,13,13,31,32
m_npub,8,8,0,True,9,9,24,25
ctsare,4,4,0,True,14,14,31,32
pilpnt,8,8,0,True,19,19,37,38
buisgl,20,20,0,True,18,18,41,42
feryrt,6,6,0,True,15,15,32,33
rtpbcn,11,11,0,True,20,20,38,39
mipare,11,11,0,True,14,14,33,34
topmar,6,6,0,True,21,21,38,39
lights,379,379,0,True,17,17,48,49
hrbfac,1,1,0,True,18,18,34,35
boyspp,78,78,0,True,15,15,41,42
damcon,1,1,0,True,24,24,39,40
exezne,7,7,0,True,7,7,25,26
slcons,566,566,0,True,27,27,45,46
lakare,51,51,0,True,13,13,29,30
airare,3,3,0,True,15,15,31,32
m_qual,92,92,0,True,12,12,32,33
splare,1,1,0,True,15,15,30,31
wedklp,183,183,0,True,11,11,27,28
tssbnd,15,15,0,True,13,13,28,29
lndmrk,251,251,0,True,11,11,41,42
m_nsys,8,8,0,True,11,11,26,27
bcnspp,99,99,0,True,16,16,46,47
wrecks,202,202,0,True,16,16,40,41
connectednode,0,0,0,True,0,0,9,10
seaare,300,300,0,True,10,10,27,28
soundg,10592,10592,0,True,13,13,33,34
rectrc,5,5,0,True,20,20,40,41
obstrn,230,230,0,True,19,19,43,44
sbdare,846,846,0,True,10,10,30,31
pilbop,4,4,0,True,15,15,35,36
tsezne,3,3,0,True,12,12,28,29
conzne,6,6,0,True,10,10,28,29
depcnt,790,790,0,True,11,11,27,28
depare,705,705,0,True,15,15,29,30
siltnk,16,16,0,True,15,15,42,43
fogsig,46,46,0,True,17,17,38,39
admare,22,22,0,True,9,9,29,30
cblohd,4,4,0,True,22,22,38,39
isolatednode,0,0,0,True,0,0,9,10
tsslpt,23,23,0,True,13,13,30,31
unsare,5,5,0,True,10,10,24,25
resare,23,23,0,True,10,10,33,34
cblsub,116,116,0,True,16,16,35,36
wattur,1,1,0,True,11,11,27,28
lndrgn,192,192,0,True,13,13,30,31
canals,4,4,0,True,18,18,34,35
lndare,1917,1917,0,True,12,12,28,29
boysaw,10,10,0,True,16,16,40,41
rdocal,5,5,0,True,15,15,34,35
bridge,71,71,0,True,23,23,43,44
fairwy,14,14,0,True,19,19,36,37
ctnare,66,66,0,True,11,11,28,29
morfac,13,13,0,True,25,25,45,46
daymar,24,24,0,True,23,23,41,42
ofsplf,27,27,0,True,21,21,42,43
prcare,1,1,0,True,13,13,28,29
coalne,1604,1604,0,True,19,19,34,35
pipare,1,1,0,True,16,16,33,34
achare,4,4,0,True,14,14,33,34
slotop,27,27,0,True,20,20,36,37
