layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b,column_name,format_a_type,format_b_type
rectrc_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,cattrk,int32,int64
rectrc_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
rectrc_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,,souacc,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
rectrc_TYPE_MISMATCH,,,,,,,,,,drval1,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
pilbop,33.0,42.0,32.0,10.0,1.0,12.0,False,"ffpt_rind, status, name_rcnm, usag, ogc_fid, name_rcid, ornt, lnam_refs, mask, wkb_geometry",geometry,,,
pilbop_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
pilbop_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
admare,28.0,36.0,27.0,9.0,1.0,13.0,False,"ffpt_rind, name_rcnm, usag, ogc_fid, name_rcid, ornt, lnam_refs, mask, wkb_geometry",geometry,,,
