layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match
rdocal,35,35,35,0,0,0,True
navlne,32,32,32,0,0,0,True
buaare,34,34,34,0,0,0,True
topmar,39,39,39,0,0,0,True
rtpbcn,39,39,39,0,0,0,True
rectrc,41,41,41,0,0,0,True
m_qual,33,33,33,0,0,0,True
bridge,44,44,44,0,0,0,True
sbdare,31,31,31,0,0,0,True
pipsol,39,39,39,0,0,0,True
splare,31,31,31,0,0,0,True
soundg,34,34,34,0,0,0,True
seaare,28,28,28,0,0,0,True
bcnlat,47,47,47,0,0,0,True
slogrd,34,34,34,0,0,0,True
magvar,28,28,28,0,0,0,True
buisgl,42,42,42,0,0,0,True
cblare,32,32,32,0,0,0,True
tesare,27,27,27,0,0,0,True
bcnspp,47,47,47,0,0,0,True
face,10,10,10,0,0,0,True
curent,31,31,31,0,0,0,True
rivers,28,28,28,0,0,0,True
ponton,38,38,38,0,0,0,True
exezne,26,26,26,0,0,0,True
daymar,42,42,42,0,0,0,True
lights,49,49,49,0,0,0,True
c_aggr,28,28,28,0,0,0,True
unsare,25,25,25,0,0,0,True
depare,30,30,30,0,0,0,True
lndmrk,42,42,42,0,0,0,True
isolatednode,10,10,10,0,0,0,True
m_npub,25,25,25,0,0,0,True
cgusta,32,32,32,0,0,0,True
wrecks,41,41,41,0,0,0,True
lndrgn,31,31,31,0,0,0,True
pilbop,36,36,36,0,0,0,True
siltnk,43,43,43,0,0,0,True
achare,34,34,34,0,0,0,True
lndare,29,29,29,0,0,0,True
cblsub,36,36,36,0,0,0,True
morfac,46,46,46,0,0,0,True
depcnt,28,28,28,0,0,0,True
wattur,28,28,28,0,0,0,True
fogsig,39,39,39,0,0,0,True
lndelv,31,31,31,0,0,0,True
obstrn,44,44,44,0,0,0,True
boysaw,41,41,41,0,0,0,True
fairwy,37,37,37,0,0,0,True
hrbfac,35,35,35,0,0,0,True
pipare,34,34,34,0,0,0,True
feryrt,33,33,33,0,0,0,True
tsezne,29,29,29,0,0,0,True
connectednode,10,10,10,0,0,0,True
dmpgrd,30,30,30,0,0,0,True
m_nsys,27,27,27,0,0,0,True
airare,32,32,32,0,0,0,True
lakare,30,30,30,0,0,0,True
resare,34,34,34,0,0,0,True
wedklp,28,28,28,0,0,0,True
coalne,35,35,35,0,0,0,True
tssbnd,29,29,29,0,0,0,True
damcon,40,40,40,0,0,0,True
m_covr,22,22,22,0,0,0,True
boylat,42,42,42,0,0,0,True
pilpnt,38,38,38,0,0,0,True
edge,22,22,22,0,0,0,True
cblohd,39,39,39,0,0,0,True
ofsplf,43,43,43,0,0,0,True
rdosta,38,38,38,0,0,0,True
slotop,37,37,37,0,0,0,True
mipare,34,34,34,0,0,0,True
marcul,42,42,42,0,0,0,True
admare,30,30,30,0,0,0,True
tsslpt,31,31,31,0,0,0,True
uwtroc,37,37,37,0,0,0,True
dsid,37,37,37,0,0,0,True
c_asso,28,28,28,0,0,0,True
slcons,46,46,46,0,0,0,True
canals,35,35,35,0,0,0,True
conzne,29,29,29,0,0,0,True
boyspp,42,42,42,0,0,0,True
prcare,29,29,29,0,0,0,True
fshzne,29,29,29,0,0,0,True
ctsare,32,32,32,0,0,0,True
ctnare,29,29,29,0,0,0,True
