layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b
ofsplf,45,44,43,1,2,0,False,wkb_geometry,"geometry, geom"
morfac,48,47,46,1,2,0,False,wkb_geometry,"geometry, geom"
daymar,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
canals,37,36,35,1,2,0,False,wkb_geometry,"geometry, geom"
magvar,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
curent,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
uwtroc,39,38,37,1,2,0,False,wkb_geometry,"geometry, geom"
seaare,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
lakare,32,31,30,1,2,0,False,wkb_geometry,"geometry, geom"
cblare,34,33,32,1,2,0,False,wkb_geometry,"geometry, geom"
isolatednode,12,11,10,1,2,0,False,wkb_geometry,"geometry, geom"
exezne,28,27,26,1,2,0,False,wkb_geometry,"geometry, geom"
lndrgn,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
buaare,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
rdosta,40,39,38,1,2,0,False,wkb_geometry,"geometry, geom"
buisgl,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
face,12,11,10,1,2,0,False,wkb_geometry,"geometry, geom"
boysaw,43,42,41,1,2,0,False,wkb_geometry,"geometry, geom"
slogrd,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
ctsare,34,33,32,1,2,0,False,wkb_geometry,"geometry, geom"
pipsol,41,40,39,1,2,0,False,wkb_geometry,"geometry, geom"
unsare,27,26,25,1,2,0,False,wkb_geometry,"geometry, geom"
marcul,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
pipare,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
m_covr,24,23,22,1,2,0,False,wkb_geometry,"geometry, geom"
mipare,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
admare,32,31,30,1,2,0,False,wkb_geometry,"geometry, geom"
cgusta,34,33,32,1,2,0,False,wkb_geometry,"geometry, geom"
boyspp,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
c_aggr,29,29,28,1,1,0,True,wkb_geometry,geom
bcnlat,49,48,47,1,2,0,False,wkb_geometry,"geometry, geom"
sbdare,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
dsid,38,38,37,1,1,0,True,wkb_geometry,geom
obstrn,46,45,44,1,2,0,False,wkb_geometry,"geometry, geom"
