attribute,gpkg,spatialite,notes
SAMPLE_F4_drval1,nan,nan,Feature 4 - drval1
SAMPLE_F4_dsid_dsnm,US4CA60M,US4CA60M,Feature 4 - dsid_dsnm
SAMPLE_F4_dsid_edtn,37,37,Feature 4 - dsid_edtn
SAMPLE_F4_dsid_updn,6,6,Feature 4 - dsid_updn
SAMPLE_F4_fidn,795103139,795103139,Feature 4 - fidn
SAMPLE_F4_fids,17978,17978,Feature 4 - fids
SAMPLE_F4_geometry,"POLYGON ((-118.2504506 33.708792, -118.2501939 33....","POLYGON ((-118.2504506 33.708792, -118.2501939 33....",Feature 4 - geometry
SAMPLE_F4_grup,2,2,Feature 4 - grup
SAMPLE_F4_inform,None,None,Feature 4 - inform
SAMPLE_F4_lnam,02262F644FA3463A,02262F644FA3463A,Feature 4 - lnam
SAMPLE_F4_ninfom,None,None,Feature 4 - ninfom
SAMPLE_F4_nobjnm,None,None,Feature 4 - nobjnm
SAMPLE_F4_ntxtds,None,None,Feature 4 - ntxtds
SAMPLE_F4_objl,51,51,Feature 4 - objl
SAMPLE_F4_objnam,Los Angeles Main Channel,Los Angeles Main Channel,Feature 4 - objnam
SAMPLE_F4_orient,nan,nan,Feature 4 - orient
SAMPLE_F4_prim,3,3,Feature 4 - prim
SAMPLE_F4_rcid,3671,3671,Feature 4 - rcid
SAMPLE_F4_recdat,None,None,Feature 4 - recdat
SAMPLE_F4_recind,None,None,Feature 4 - recind
SAMPLE_F4_rver,2,2,Feature 4 - rver
SAMPLE_F4_scamax,nan,nan,Feature 4 - scamax
SAMPLE_F4_scamin,179999,179999,Feature 4 - scamin
SAMPLE_F4_sordat,20041105,20041105,Feature 4 - sordat
SAMPLE_F4_sorind,"US,US,reprt,DD-5636","US,US,reprt,DD-5636",Feature 4 - sorind
SAMPLE_F4_souacc,nan,nan,Feature 4 - souacc
SAMPLE_F4_trafic,4,4,Feature 4 - trafic
SAMPLE_F4_txtdsc,None,None,Feature 4 - txtdsc
SAMPLE_F4_verdat,nan,nan,Feature 4 - verdat
SAMPLE_FEATURE_5_SEPARATOR,--- FEATURE 5 ---,--- FEATURE 5 ---,Feature 5 sample
SAMPLE_F5_agen,550,550,Feature 5 - agen
SAMPLE_F5_datend,None,None,Feature 5 - datend
SAMPLE_F5_datsta,None,None,Feature 5 - datsta
SAMPLE_F5_drval1,nan,nan,Feature 5 - drval1
SAMPLE_F5_dsid_dsnm,US4CA60M,US4CA60M,Feature 5 - dsid_dsnm
SAMPLE_F5_dsid_edtn,37,37,Feature 5 - dsid_edtn
SAMPLE_F5_dsid_updn,6,6,Feature 5 - dsid_updn
SAMPLE_F5_fidn,275028937,275028937,Feature 5 - fidn
SAMPLE_F5_fids,4139,4139,Feature 5 - fids
SAMPLE_F5_geometry,"POLYGON ((-118.2458213 33.7092937, -118.2457893 33...","POLYGON ((-118.2458213 33.7092937, -118.2457893 33...",Feature 5 - geometry
SAMPLE_F5_grup,2,2,Feature 5 - grup
SAMPLE_F5_inform,None,None,Feature 5 - inform
SAMPLE_F5_lnam,022610649BC9102B,022610649BC9102B,Feature 5 - lnam
SAMPLE_F5_ninfom,None,None,Feature 5 - ninfom
SAMPLE_F5_nobjnm,None,None,Feature 5 - nobjnm
SAMPLE_F5_ntxtds,None,None,Feature 5 - ntxtds
SAMPLE_F5_objl,51,51,Feature 5 - objl
SAMPLE_F5_objnam,None,None,Feature 5 - objnam
SAMPLE_F5_orient,nan,nan,Feature 5 - orient
SAMPLE_F5_prim,3,3,Feature 5 - prim
SAMPLE_F5_rcid,3672,3672,Feature 5 - rcid
SAMPLE_F5_recdat,None,None,Feature 5 - recdat
SAMPLE_F5_recind,None,None,Feature 5 - recind
SAMPLE_F5_rver,1,1,Feature 5 - rver
SAMPLE_F5_scamax,nan,nan,Feature 5 - scamax
SAMPLE_F5_scamin,179999,179999,Feature 5 - scamin
SAMPLE_F5_sordat,20041105,20041105,Feature 5 - sordat
SAMPLE_F5_sorind,"US,US,reprt,DD-5636","US,US,reprt,DD-5636",Feature 5 - sorind
SAMPLE_F5_souacc,nan,nan,Feature 5 - souacc
SAMPLE_F5_trafic,4,4,Feature 5 - trafic
SAMPLE_F5_txtdsc,None,None,Feature 5 - txtdsc
SAMPLE_F5_verdat,nan,nan,Feature 5 - verdat
SAMPLE_FEATURE_6_SEPARATOR,--- FEATURE 6 ---,--- FEATURE 6 ---,Feature 6 sample
SAMPLE_F6_agen,550,550,Feature 6 - agen
SAMPLE_F6_datend,None,None,Feature 6 - datend
SAMPLE_F6_datsta,None,None,Feature 6 - datsta
SAMPLE_F6_drval1,nan,nan,Feature 6 - drval1
SAMPLE_F6_dsid_dsnm,US4CA60M,US4CA60M,Feature 6 - dsid_dsnm
SAMPLE_F6_dsid_edtn,37,37,Feature 6 - dsid_edtn
SAMPLE_F6_dsid_updn,6,6,Feature 6 - dsid_updn
SAMPLE_F6_fidn,20274735,20274735,Feature 6 - fidn
SAMPLE_F6_fids,50,50,Feature 6 - fids
SAMPLE_F6_geometry,"POLYGON ((-118.2180428 33.7553344, -118.2180694 33...","POLYGON ((-118.2180428 33.7553344, -118.2180694 33...",Feature 6 - geometry
SAMPLE_F6_grup,2,2,Feature 6 - grup
SAMPLE_F6_inform,None,None,Feature 6 - inform
