attribute,gpkg,spatialite,notes
SAMPLE_F9_inform,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,Feature 9 - inform
SAMPLE_F9_lnam,02261AF645A621F3,02261AF645A621F3,Feature 9 - lnam
SAMPLE_F9_nation,US,US,Feature 9 - nation
SAMPLE_F9_ninfom,None,None,Feature 9 - ninfom
SAMPLE_F9_ntxtds,None,None,Feature 9 - ntxtds
SAMPLE_F9_objl,135,135,Feature 9 - objl
SAMPLE_F9_prim,3,3,Feature 9 - prim
SAMPLE_F9_rcid,4825,4825,Feature 9 - rcid
SAMPLE_F9_recdat,None,None,Feature 9 - recdat
SAMPLE_F9_recind,None,None,Feature 9 - recind
SAMPLE_F9_restrn,None,None,Feature 9 - restrn
SAMPLE_F9_rver,1,1,Feature 9 - rver
SAMPLE_F9_scamax,nan,nan,Feature 9 - scamax
SAMPLE_F9_scamin,9999999,9999999,Feature 9 - scamin
SAMPLE_F9_sordat,20240119,20240119,Feature 9 - sordat
SAMPLE_F9_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 9 - sorind
SAMPLE_F9_txtdsc,None,None,Feature 9 - txtdsc
SAMPLE_FEATURE_10_SEPARATOR,--- FEATURE 10 ---,--- FEATURE 10 ---,Feature 10 sample
SAMPLE_F10_agen,550,550,Feature 10 - agen
SAMPLE_F10_dsid_dsnm,US1GC09M,US1GC09M,Feature 10 - dsid_dsnm
SAMPLE_F10_dsid_edtn,65,65,Feature 10 - dsid_edtn
SAMPLE_F10_dsid_updn,5,5,Feature 10 - dsid_updn
SAMPLE_F10_fidn,286237860,286237860,Feature 10 - fidn
SAMPLE_F10_fids,8691,8691,Feature 10 - fids
SAMPLE_F10_geometry,"POLYGON ((-88.7781066 30.2450091, -88.7781318 30.2...","POLYGON ((-88.7781066 30.2450091, -88.7781318 30.2...",Feature 10 - geometry
SAMPLE_F10_grup,2,2,Feature 10 - grup
SAMPLE_F10_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 10 - inform
SAMPLE_F10_lnam,0226110FA4A421F3,0226110FA4A421F3,Feature 10 - lnam
SAMPLE_F10_nation,US,US,Feature 10 - nation
SAMPLE_F10_ninfom,None,None,Feature 10 - ninfom
SAMPLE_F10_ntxtds,None,None,Feature 10 - ntxtds
SAMPLE_F10_objl,135,135,Feature 10 - objl
SAMPLE_F10_prim,3,3,Feature 10 - prim
SAMPLE_F10_rcid,4826,4826,Feature 10 - rcid
SAMPLE_F10_recdat,None,None,Feature 10 - recdat
SAMPLE_F10_recind,None,None,Feature 10 - recind
SAMPLE_F10_restrn,None,None,Feature 10 - restrn
SAMPLE_F10_rver,1,1,Feature 10 - rver
SAMPLE_F10_scamax,nan,nan,Feature 10 - scamax
SAMPLE_F10_scamin,9999999,9999999,Feature 10 - scamin
SAMPLE_F10_sordat,20240119,20240119,Feature 10 - sordat
SAMPLE_F10_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 10 - sorind
SAMPLE_F10_txtdsc,None,None,Feature 10 - txtdsc
