attribute,gpkg,spatialite,notes
SAMPLE_F1_scamin,9999999,9999999,Feature 1 - scamin
SAMPLE_F1_sordat,200303,200303,Feature 1 - sordat
SAMPLE_F1_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 1 - sorind
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550,Feature 2 - agen
SAMPLE_F2_curvel,nan,nan,Feature 2 - curvel
SAMPLE_F2_datend,None,None,Feature 2 - datend
SAMPLE_F2_datsta,None,None,Feature 2 - datsta
SAMPLE_F2_dsid_dsnm,US1GC09M,US1GC09M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,65,65,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,5,5,Feature 2 - dsid_updn
SAMPLE_F2_fidn,253934502,253934502,Feature 2 - fidn
SAMPLE_F2_fids,4044,4044,Feature 2 - fids
SAMPLE_F2_geometry,Point(1),Point(1),Feature 2 - geometry
SAMPLE_F2_grup,2,2,Feature 2 - grup
SAMPLE_F2_inform,Approximate Axis of Gulf Stream,Approximate Axis of Gulf Stream,Feature 2 - inform
SAMPLE_F2_lnam,02260F22BBA60FCC,02260F22BBA60FCC,Feature 2 - lnam
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_nobjnm,None,None,Feature 2 - nobjnm
SAMPLE_F2_objl,36,36,Feature 2 - objl
SAMPLE_F2_objnam,Gulf Stream,Gulf Stream,Feature 2 - objnam
SAMPLE_F2_orient,39.1,39.1,Feature 2 - orient
SAMPLE_F2_perend,None,None,Feature 2 - perend
SAMPLE_F2_persta,None,None,Feature 2 - persta
SAMPLE_F2_prim,1,1,Feature 2 - prim
SAMPLE_F2_rcid,5231,5231,Feature 2 - rcid
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1,Feature 2 - rver
SAMPLE_F2_scamax,nan,nan,Feature 2 - scamax
SAMPLE_F2_scamin,9999999,9999999,Feature 2 - scamin
SAMPLE_F2_sordat,200303,200303,Feature 2 - sordat
SAMPLE_F2_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 2 - sorind
SAMPLE_FEATURE_3_SEPARATOR,--- FEATURE 3 ---,--- FEATURE 3 ---,Feature 3 sample
SAMPLE_F3_agen,550,550,Feature 3 - agen
SAMPLE_F3_curvel,nan,nan,Feature 3 - curvel
SAMPLE_F3_datend,None,None,Feature 3 - datend
SAMPLE_F3_datsta,None,None,Feature 3 - datsta
SAMPLE_F3_dsid_dsnm,US1GC09M,US1GC09M,Feature 3 - dsid_dsnm
SAMPLE_F3_dsid_edtn,65,65,Feature 3 - dsid_edtn
SAMPLE_F3_dsid_updn,5,5,Feature 3 - dsid_updn
SAMPLE_F3_fidn,253934500,253934500,Feature 3 - fidn
SAMPLE_F3_fids,4044,4044,Feature 3 - fids
SAMPLE_F3_geometry,Point(1),Point(1),Feature 3 - geometry
SAMPLE_F3_grup,2,2,Feature 3 - grup
SAMPLE_F3_inform,Approximate Axis of Gulf Stream,Approximate Axis of Gulf Stream,Feature 3 - inform
SAMPLE_F3_lnam,02260F22BBA40FCC,02260F22BBA40FCC,Feature 3 - lnam
SAMPLE_F3_ninfom,None,None,Feature 3 - ninfom
SAMPLE_F3_nobjnm,None,None,Feature 3 - nobjnm
SAMPLE_F3_objl,36,36,Feature 3 - objl
SAMPLE_F3_objnam,Gulf Stream,Gulf Stream,Feature 3 - objnam
SAMPLE_F3_orient,41.0,41.0,Feature 3 - orient
SAMPLE_F3_perend,None,None,Feature 3 - perend
SAMPLE_F3_persta,None,None,Feature 3 - persta
SAMPLE_F3_prim,1,1,Feature 3 - prim
SAMPLE_F3_rcid,5232,5232,Feature 3 - rcid
SAMPLE_F3_recdat,None,None,Feature 3 - recdat
SAMPLE_F3_recind,None,None,Feature 3 - recind
SAMPLE_F3_rver,1,1,Feature 3 - rver
SAMPLE_F3_scamax,nan,nan,Feature 3 - scamax
SAMPLE_F3_scamin,9999999,9999999,Feature 3 - scamin
SAMPLE_F3_sordat,200303,200303,Feature 3 - sordat
SAMPLE_F3_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 3 - sorind
