layer_name,gpkg_count,spatialite_count,difference,match,gpkg_empty_fields,spatialite_empty_fields,gpkg_total_fields,spatialite_total_fields
conzne,6,6,0,True,10,7,33,25
magvar,166,166,0,True,9,7,32,25
bcnlat,20,20,0,True,20,19,51,40
exezne,7,7,0,True,7,5,30,23
rtpbcn,11,11,0,True,20,17,43,35
seaare,300,300,0,True,10,8,32,25
resare,23,23,0,True,10,8,38,28
m_npub,8,8,0,True,9,7,29,22
lndare,1917,1917,0,True,12,9,33,25
fairwy,14,14,0,True,19,14,41,31
connectednode,0,0,0,True,0,0,9,9
splare,1,1,0,True,15,11,35,26
admare,22,22,0,True,9,7,34,27
rdocal,5,5,0,True,15,12,39,31
lndrgn,192,192,0,True,13,9,35,25
rivers,247,247,0,True,10,8,32,24
lndelv,63,63,0,True,12,10,35,28
morfac,13,13,0,True,25,22,50,39
rectrc,5,5,0,True,20,15,45,35
bridge,71,71,0,True,23,18,48,37
ctsare,4,4,0,True,14,11,36,28
ofsplf,27,27,0,True,21,17,47,34
tsezne,3,3,0,True,12,9,33,25
bcnspp,99,99,0,True,16,16,51,39
boyspp,78,78,0,True,15,14,46,34
cblsub,116,116,0,True,16,14,40,32
pipare,1,1,0,True,16,11,38,27
m_nsys,8,8,0,True,11,9,31,24
airare,3,3,0,True,15,11,36,27
rdosta,33,33,0,True,19,16,42,33
cgusta,1,1,0,True,16,13,36,28
achare,4,4,0,True,14,11,38,28
edge,0,0,0,True,0,0,21,21
daymar,24,24,0,True,23,18,46,34
isolatednode,0,0,0,True,0,0,9,9
m_qual,92,92,0,True,12,10,37,29
lndmrk,251,251,0,True,11,11,46,33
fshzne,1,1,0,True,12,9,33,25
buaare,246,246,0,True,16,14,38,31
m_covr,13,13,0,True,8,6,26,19
pilpnt,8,8,0,True,19,16,42,33
unsare,5,5,0,True,10,8,29,22
prcare,1,1,0,True,13,9,33,24
slotop,27,27,0,True,20,14,41,30
ctnare,66,66,0,True,11,9,33,26
navlne,7,7,0,True,13,10,36,28
tssbnd,15,15,0,True,13,10,33,25
sbdare,846,846,0,True,10,8,35,25
wrecks,202,202,0,True,16,14,45,35
lights,379,379,0,True,17,15,53,42
obstrn,230,230,0,True,19,13,48,34
depcnt,790,790,0,True,11,9,32,25
mipare,11,11,0,True,14,10,38,28
marcul,1,1,0,True,22,17,46,36
face,0,0,0,True,0,0,9,9
boysaw,10,10,0,True,16,15,45,34
curent,77,77,0,True,11,9,35,28
soundg,10592,10592,0,True,13,10,38,28
tsslpt,23,23,0,True,13,9,35,26
slogrd,73,73,0,True,16,10,38,27
dmpgrd,29,29,0,True,9,6,34,24
pipsol,26,26,0,True,19,17,43,33
uwtroc,678,678,0,True,14,9,41,29
coalne,1604,1604,0,True,19,16,39,31
wattur,1,1,0,True,11,9,32,25
ponton,1,1,0,True,22,18,42,33
slcons,566,566,0,True,27,21,50,39
wedklp,183,183,0,True,11,9,32,25
cblohd,4,4,0,True,22,19,43,35
hrbfac,1,1,0,True,18,14,39,29
damcon,1,1,0,True,24,19,44,34
canals,4,4,0,True,18,15,39,31
cblare,4,4,0,True,13,10,36,27
boylat,28,28,0,True,18,16,46,35
feryrt,6,6,0,True,15,12,37,29
fogsig,46,46,0,True,17,14,43,35
buisgl,20,20,0,True,18,16,46,34
siltnk,16,16,0,True,15,15,47,35
depare,705,705,0,True,15,12,34,26
lakare,51,51,0,True,13,11,34,27
tesare,56,56,0,True,9,6,31,23
topmar,6,6,0,True,21,17,43,33
pilbop,4,4,0,True,15,12,40,32
