layer_name,gpkg_count,postgis_count,difference,match,gpkg_empty_fields,postgis_empty_fields,gpkg_total_fields,postgis_total_fields
conzne,6,6,0,True,10,10,33,34
magvar,166,166,0,True,9,9,32,33
bcnlat,20,20,0,True,20,20,51,52
exezne,7,7,0,True,7,7,30,31
rtpbcn,11,11,0,True,20,20,43,44
seaare,300,300,0,True,10,10,32,33
resare,23,23,0,True,10,10,38,39
m_npub,8,8,0,True,9,9,29,30
lndare,1917,1917,0,True,12,12,33,34
fairwy,14,14,0,True,19,19,41,42
connectednode,0,0,0,True,0,0,9,10
splare,1,1,0,True,15,15,35,36
admare,22,22,0,True,9,9,34,35
rdocal,5,5,0,True,15,15,39,40
lndrgn,192,192,0,True,13,13,35,36
rivers,247,247,0,True,10,10,32,33
lndelv,63,63,0,True,12,12,35,36
morfac,13,13,0,True,25,25,50,51
rectrc,5,5,0,True,20,20,45,46
bridge,71,71,0,True,23,23,48,49
ofsplf,27,27,0,True,21,21,47,48
ctsare,4,4,0,True,14,14,36,37
tsezne,3,3,0,True,12,12,33,34
bcnspp,99,99,0,True,16,16,51,52
boyspp,78,78,0,True,15,15,46,47
cblsub,116,116,0,True,16,16,40,41
pipare,1,1,0,True,16,16,38,39
m_nsys,8,8,0,True,11,11,31,32
rdosta,33,33,0,True,19,19,42,43
airare,3,3,0,True,15,15,36,37
cgusta,1,1,0,True,16,16,36,37
achare,4,4,0,True,14,14,38,39
edge,0,0,0,True,0,0,21,22
daymar,24,24,0,True,23,23,46,47
isolatednode,0,0,0,True,0,0,9,10
m_qual,92,92,0,True,12,12,37,38
lndmrk,251,251,0,True,11,11,46,47
fshzne,1,1,0,True,12,12,33,34
buaare,246,246,0,True,16,16,38,39
pilpnt,8,8,0,True,19,19,42,43
m_covr,13,13,0,True,8,8,26,27
unsare,5,5,0,True,10,10,29,30
prcare,1,1,0,True,13,13,33,34
slotop,27,27,0,True,20,20,41,42
ctnare,66,66,0,True,11,11,33,34
navlne,7,7,0,True,13,13,36,37
tssbnd,15,15,0,True,13,13,33,34
sbdare,846,846,0,True,10,10,35,36
wrecks,202,202,0,True,16,16,45,46
lights,379,379,0,True,17,17,53,54
obstrn,230,230,0,True,19,19,48,49
depcnt,790,790,0,True,11,11,32,33
mipare,11,11,0,True,14,14,38,39
marcul,1,1,0,True,22,22,46,47
face,0,0,0,True,0,0,9,10
boysaw,10,10,0,True,16,16,45,46
curent,77,77,0,True,11,11,35,36
soundg,10592,10592,0,True,13,13,38,39
tsslpt,23,23,0,True,13,13,35,36
slogrd,73,73,0,True,16,16,38,39
dmpgrd,29,29,0,True,9,9,34,35
pipsol,26,26,0,True,19,19,43,44
uwtroc,678,678,0,True,14,14,41,42
coalne,1604,1604,0,True,19,19,39,40
wattur,1,1,0,True,11,11,32,33
ponton,1,1,0,True,22,22,42,43
slcons,566,566,0,True,27,27,50,51
wedklp,183,183,0,True,11,11,32,33
cblohd,4,4,0,True,22,22,43,44
hrbfac,1,1,0,True,18,18,39,40
damcon,1,1,0,True,24,24,44,45
canals,4,4,0,True,18,18,39,40
cblare,4,4,0,True,13,13,36,37
boylat,28,28,0,True,18,18,46,47
feryrt,6,6,0,True,15,15,37,38
fogsig,46,46,0,True,17,17,43,44
buisgl,20,20,0,True,18,18,46,47
siltnk,16,16,0,True,15,15,47,48
depare,705,705,0,True,15,15,34,35
lakare,51,51,0,True,13,13,34,35
tesare,56,56,0,True,9,9,31,32
topmar,6,6,0,True,21,21,43,44
pilbop,4,4,0,True,15,15,40,41
